timestamp, pstate, temperature.gpu, utilization.gpu [%], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/09/19 12:52:32.244, P0, 66, 100 %, 76.54 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:32.447, P0, 67, 100 %, 76.51 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:32.651, P0, 67, 100 %, 76.57 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:32.855, P0, 67, 100 %, 76.60 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:33.059, P0, 68, 31 %, 69.22 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:33.262, P0, 68, 9 %, 60.42 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:33.467, P0, 68, 100 %, 75.63 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:33.670, P0, 61, 100 %, 75.97 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:33.874, P0, 61, 100 %, 76.16 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:34.078, P0, 61, 100 %, 76.17 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:34.282, P0, 68, 100 %, 76.21 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:34.485, P0, 68, 100 %, 76.36 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:34.688, P0, 68, 100 %, 72.85 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:34.891, P0, 59, 23 %, 24.18 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:35.098, P0, 59, 9 %, 25.10 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:35.302, P0, 59, 58 %, 54.64 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:35.506, P0, 67, 76 %, 53.05 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:35.711, P0, 67, 69 %, 61.12 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:35.916, P0, 67, 64 %, 24.73 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:36.137, P0, 67, 15 %, 62.23 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:36.341, P0, 67, 99 %, 73.43 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:36.546, P0, 67, 99 %, 77.83 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:36.750, P0, 70, 55 %, 26.74 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:36.999, P0, 70, 99 %, 77.73 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:37.203, P0, 56, 99 %, 81.30 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:37.407, P0, 56, 36 %, 71.12 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:37.631, P0, 56, 29 %, 53.97 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:37.836, P0, 70, 99 %, 77.49 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:38.040, P0, 70, 99 %, 82.14 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:38.244, P0, 70, 79 %, 26.99 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:38.450, P0, 61, 2 %, 22.55 W, 2550 MHz, 8101 MHz
2026/09/19 12:52:38.655, P0, 61, 91 %, 52.67 W, 2550 MHz, 8101 MHz
2026/09/19 12:52:38.859, P0, 61, 99 %, 68.88 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:39.064, P0, 72, 99 %, 68.77 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:39.268, P0, 72, 18 %, 60.24 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:39.472, P0, 72, 20 %, 66.57 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:39.677, P0, 57, 100 %, 66.82 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:39.881, P0, 57, 100 %, 63.11 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:40.085, P0, 57, 100 %, 64.18 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:40.289, P0, 70, 100 %, 72.90 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:40.493, P0, 70, 100 %, 82.29 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:40.697, P0, 70, 100 %, 82.59 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:40.901, P0, 70, 100 %, 78.38 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:41.105, P0, 70, 10 %, 67.46 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:41.310, P0, 70, 30 %, 62.73 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:41.514, P0, 65, 100 %, 64.43 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:41.717, P0, 65, 100 %, 64.40 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:41.921, P0, 65, 100 %, 64.38 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:42.125, P0, 70, 100 %, 74.17 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:42.330, P0, 70, 100 %, 82.47 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:42.534, P0, 70, 100 %, 82.74 W, 2565 MHz, 8101 MHz
