timestamp, pstate, temperature.gpu, utilization.gpu [%], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/09/19 17:48:08.177, P0, 61, 89 %, 39.35 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:08.389, P0, 66, 55 %, 85.58 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:08.593, P0, 66, 78 %, 54.58 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:08.797, P0, 66, 96 %, 62.09 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:09.001, P0, 70, 99 %, 67.52 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:09.220, P0, 70, 71 %, 67.90 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:09.444, P0, 70, 20 %, 58.58 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:09.676, P0, 57, 99 %, 66.67 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:09.880, P0, 57, 99 %, 88.31 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:10.085, P0, 57, 49 %, 53.38 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:10.290, P0, 72, 6 %, 39.49 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:10.494, P0, 72, 99 %, 89.31 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:10.698, P0, 72, 99 %, 89.73 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:10.902, P0, 66, 99 %, 23.98 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:11.120, P0, 66, 3 %, 31.85 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:11.324, P0, 66, 67 %, 62.45 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:11.532, P0, 73, 99 %, 70.54 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:11.735, P0, 73, 99 %, 79.58 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:11.941, P0, 73, 41 %, 23.16 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:12.145, P0, 59, 2 %, 33.12 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:12.351, P0, 59, 89 %, 49.36 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:12.554, P0, 59, 100 %, 57.63 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:12.764, P0, 69, 100 %, 82.93 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:12.968, P0, 69, 100 %, 82.97 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:13.172, P0, 69, 100 %, 83.29 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:13.376, P0, 71, 100 %, 83.19 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:13.580, P0, 71, 100 %, 80.34 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:13.784, P0, 71, 38 %, 63.34 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:13.988, P0, 62, 2 %, 61.20 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:14.192, P0, 62, 99 %, 64.67 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:14.396, P0, 62, 100 %, 82.92 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:14.616, P0, 70, 100 %, 83.11 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:14.820, P0, 70, 100 %, 83.13 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:15.024, P0, 70, 100 %, 83.21 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:15.227, P0, 71, 100 %, 83.26 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:15.431, P0, 71, 29 %, 23.37 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:15.636, P0, 71, 6 %, 23.15 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:15.840, P0, 62, 58 %, 85.36 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:16.050, P0, 62, 75 %, 67.59 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:16.254, P0, 62, 67 %, 66.81 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:16.458, P0, 69, 66 %, 40.19 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:16.663, P0, 69, 11 %, 31.07 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:16.868, P0, 69, 99 %, 53.11 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:17.073, P0, 71, 99 %, 62.78 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:17.276, P0, 71, 59 %, 62.36 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:17.481, P0, 71, 32 %, 60.68 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:17.685, P0, 58, 99 %, 86.87 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:17.892, P0, 58, 99 %, 82.52 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:18.095, P0, 58, 38 %, 67.73 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:18.300, P0, 73, 19 %, 61.46 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:18.528, P0, 73, 99 %, 66.94 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:18.732, P0, 73, 99 %, 71.11 W, 2565 MHz, 8101 MHz
